City_ID,City,Country,Date,Longitude,Latitude,Max Temperature,Humidity,Cloudiness,Wind speed
149,airai,TL,1584297716,125.41,-8.93,66.0,79,82,3.04
150,sayyan,YE,1584297717,44.32,15.17,60.6,57,51,1.21
151,yendi,GH,1584297717,-0.01,9.44,99.66,19,48,5.23
152,westport,US,1584297598,-73.36,41.14,53.01,27,1,8.05
153,adrar,MR,1584297717,-10.07,20.5,85.8,8,0,9.53
154,kovylkino,RU,1584297717,43.91,54.04,32.88,96,90,7.2
155,ramnicu sarat,RO,1584297717,27.05,45.38,32.0,39,40,13.87
156,bengkulu,ID,1584297685,102.27,-3.8,75.36,88,93,3.31
157,casper,US,1584297483,-106.31,42.87,46.0,70,20,4.7
158,sholapur,IN,1584297717,75.92,17.68,87.06,24,24,6.44
159,vanavara,RU,1584297718,102.28,60.34,30.72,89,100,14.32
160,mahibadhoo,MV,1584297718,72.97,3.78,83.46,70,5,8.77
161,guerrero negro,MX,1584297718,-114.06,27.98,64.2,61,0,14.07
162,omboue,GA,1584297718,9.26,-1.57,78.6,90,95,3.29
163,yulara,AU,1584297718,130.99,-25.24,75.2,18,0,6.93
164,bredasdorp,ZA,1584297718,20.04,-34.53,66.2,55,100,12.75
165,leningradskiy,RU,1584297718,178.42,69.38,14.7,70,98,12.35
166,waipawa,NZ,1584297718,175.52,-41.41,60.8,82,50,20.8
167,cabo san lucas,MX,1584297719,-109.91,22.89,79.0,60,75,3.36
168,batu gajah,MY,1584297719,101.04,4.47,77.0,94,20,1.92
169,sabang,ID,1584297719,95.32,5.89,84.18,79,100,13.98
170,yellowknife,CA,1584297720,-114.35,62.46,26.6,63,20,18.34
171,nelson bay,AU,1584297720,152.15,-32.72,63.0,100,75,10.29
172,nemuro,JP,1584297721,145.57,43.32,28.2,62,0,10.07
173,isangel,VU,1584297721,169.27,-19.55,82.38,83,100,29.3
174,buala,SB,1584297721,159.59,-8.14,80.04,85,100,8.68
175,santa isabel do rio negro,BR,1584297721,-65.02,-0.41,98.04,42,100,2.42
176,nachalovo,RU,1584297721,48.2,46.34,46.4,31,75,15.66
177,sinnamary,GF,1584297721,-52.95,5.38,80.58,72,83,11.39
178,cidreira,BR,1584297721,-50.21,-30.18,76.44,83,90,17.85
179,manbij,SY,1584297721,37.95,36.53,55.4,87,93,10.29
180,dikson,RU,1584297722,80.55,73.51,-6.72,98,100,3.13
181,barcelos,PT,1584297722,-8.62,41.54,50.0,71,40,12.75
182,bridgewater,CA,1584297722,-64.52,44.38,37.99,43,5,8.79
183,pocone,BR,1584297722,-56.62,-16.26,93.9,47,34,4.34
184,antofagasta,CL,1584297700,-70.4,-23.65,72.0,60,20,13.87
185,butaritari,KI,1584297722,172.79,3.07,83.64,81,0,17.92
186,sitka,US,1584297723,-135.33,57.05,33.8,80,1,3.15
187,san quintin,MX,1584297723,-115.95,30.48,62.22,66,6,9.84
188,ixtapa,MX,1584297723,-105.2,20.7,80.6,61,40,8.05
189,kutum,SD,1584297723,24.67,14.2,68.52,20,30,4.12
190,brejo,BR,1584297723,-42.75,-3.68,80.76,90,90,6.96
191,souillac,MU,1584297723,57.52,-20.52,77.0,83,40,5.01
192,severo-kurilsk,RU,1584297723,156.12,50.68,30.72,98,100,12.82
193,castro,BR,1584297724,-50.01,-24.79,84.9,42,3,4.85
194,cairns,AU,1584297569,145.77,-16.92,69.8,94,40,7.85
195,aklavik,CA,1584297724,-135.01,68.22,8.6,55,20,9.17
196,saskylakh,RU,1584297724,114.08,71.92,20.1,96,100,5.41
197,saint george,US,1584297724,-113.58,37.1,60.01,50,75,10.29
198,santa cruz del sur,CU,1584297724,-78.0,20.71,79.32,66,0,11.99
199,mabaruma,GY,1584297724,-59.78,8.2,90.3,47,100,5.28
200,benghazi,LY,1584297511,20.07,32.12,66.72,52,0,6.29
201,port blair,IN,1584297725,92.75,11.67,82.74,73,16,11.61
202,constitucion,CL,1584297725,-72.42,-35.33,66.54,47,0,11.92
203,villazon,BO,1584297725,-65.59,-22.09,64.92,46,77,9.73
204,santiago del estero,AR,1584297725,-64.26,-27.8,61.68,89,100,4.81
205,wichita falls,US,1584297725,-98.49,33.91,51.01,87,100,9.17
206,dongsheng,CN,1584297725,109.98,39.82,37.74,29,83,14.03
207,grand gaube,MU,1584297725,57.66,-20.01,77.0,83,40,9.75
208,erzin,TR,1584297725,36.2,36.96,62.6,100,75,5.82
209,tiradentes,BR,1584297726,-44.18,-21.11,75.0,75,94,3.0
210,nome,US,1584297474,-165.41,64.5,30.2,92,90,12.75
211,mackay,AU,1584297726,149.2,-21.15,73.0,88,90,5.82
212,carauari,BR,1584297726,-66.9,-4.88,93.0,53,95,2.66
